90,  0.003100,  0.004700,  0.001600;
91,  0.001600,  0.004600,  0.001600;
92,  0.003100,  0.007800,  0.001600;
93,  0.003100,  0.004700,  0.001600;
94,  0.001500,  0.004700,  0.000000;
95,  0.001600,  0.004700,  0.001500;
96,  0.004700,  0.007800,  0.000000;
97,  0.004700,  0.006300,  0.001500;
98,  0.001600,  0.006300,  0.001500;
99,  0.003100,  0.006300,  0.000000;
100,  0.006200,  0.006300,  0.001600;
101,  0.004600,  0.009400,  0.000000;
102,  0.006300,  0.007800,  0.001500;
103,  0.004700,  0.009400,  0.001600;
104,  0.006200,  0.012500,  0.000000;
105,  0.004700,  0.009400,  0.001500;
106,  0.003100,  0.009400,  0.001600;
107,  0.001500,  0.004700,  0.000000;
108,  0.003200,  0.009300,  0.000000;
109,  0.004700,  0.009400,  0.001500;
110,  0.006300,  0.007800,  0.001500;
111,  0.004700,  0.012500,  0.001600;
112,  0.006300,  0.010900,  0.001600;
113,  0.006200,  0.010900,  0.001600;
114,  0.004700,  0.010900,  0.001600;
115,  0.006200,  0.012500,  0.003100;
116,  0.004700,  0.015600,  0.001600;
117,  0.004700,  0.014100,  0.001500;
118,  0.006300,  0.010900,  0.003100;
119,  0.003200,  0.009300,  0.001600;
120,  0.004700,  0.015600,  0.000000;
121,  0.004700,  0.012500,  0.001500;
122,  0.006300,  0.012500,  0.001500;
123,  0.006300,  0.015600,  0.003300;
124,  0.002700,  0.011000,  0.001600;
125,  0.005700,  0.015500,  0.002500;
126,  0.006900,  0.015300,  0.002000;
127,  0.003800,  0.012300,  0.001800;
128,  0.003800,  0.011000,  0.001500;
129,  0.007800,  0.023500,  0.001900;
130,  0.003300,  0.012300,  0.001800;
131,  0.006700,  0.016000,  0.002200;
132,  0.011700,  0.019100,  0.001500;
133,  0.009600,  0.016400,  0.002400;
134,  0.004100,  0.013400,  0.002000;
135,  0.005500,  0.016600,  0.001600;
136,  0.009200,  0.017400,  0.002300;
137,  0.009500,  0.021300,  0.001700;
138,  0.008500,  0.023100,  0.002300;
139,  0.010600,  0.023300,  0.001600;
140,  0.012100,  0.021800,  0.001700;
141,  0.005300,  0.021800,  0.002500;
142,  0.009900,  0.020700,  0.001700;
143,  0.003200,  0.012000,  0.002100;
144,  0.006600,  0.021400,  0.001900;
145,  0.006500,  0.018200,  0.002300;
146,  0.017700,  0.026200,  0.001800;
147,  0.011700,  0.025800,  0.001800;
148,  0.005300,  0.018200,  0.002300;
149,  0.003700,  0.010500,  0.001500;
150,  0.011500,  0.024600,  0.001900;
151,  0.007700,  0.027800,  0.003600;
152,  0.008500,  0.028500,  0.002600;
153,  0.006500,  0.019100,  0.002400;
154,  0.010900,  0.023900,  0.002000;
155,  0.014500,  0.035200,  0.002000;
156,  0.010500,  0.031600,  0.002900;
157,  0.017500,  0.031400,  0.002200;
158,  0.012600,  0.026700,  0.003000;
159,  0.009900,  0.023100,  0.001700;
160,  0.014100,  0.030000,  0.003900;
161,  0.007100,  0.024300,  0.001900;
162,  0.016100,  0.036500,  0.002100;
163,  0.018800,  0.032100,  0.003200;
164,  0.014700,  0.034900,  0.002800;
165,  0.009400,  0.026300,  0.002900;
166,  0.014700,  0.037500,  0.004300;
167,  0.008400,  0.032900,  0.002400;
168,  0.005700,  0.023900,  0.001900;
169,  0.017900,  0.041400,  0.002400;
170,  0.009400,  0.029800,  0.002000;
171,  0.007100,  0.027100,  0.003100;
172,  0.007600,  0.027100,  0.001900;
173,  0.007400,  0.031700,  0.003100;
174,  0.007800,  0.028500,  0.002100;
175,  0.014100,  0.039400,  0.003400;
176,  0.012600,  0.036800,  0.003700;
177,  0.004800,  0.021800,  0.002000;
178,  0.014300,  0.046700,  0.003600;
179,  0.017700,  0.046700,  0.003800;
180,  0.015700,  0.042900,  0.004900;
181,  0.016400,  0.036300,  0.004000;
182,  0.013800,  0.048900,  0.004000;
183,  0.020700,  0.045200,  0.004100;
184,  0.016100,  0.048100,  0.004000;
185,  0.005600,  0.024100,  0.003600;
186,  0.020700,  0.048700,  0.004200;
187,  0.031400,  0.047600,  0.004300;
188,  0.022300,  0.043800,  0.005300;
189,  0.007200,  0.031600,  0.003700;
190,  0.011800,  0.038900,  0.003800;
191,  0.009000,  0.041300,  0.003800;
192,  0.006700,  0.026900,  0.002400;
193,  0.017700,  0.044200,  0.004500;
194,  0.012100,  0.052200,  0.004900;
195,  0.011600,  0.044800,  0.002600;
196,  0.024300,  0.054400,  0.003200;
197,  0.012700,  0.056200,  0.003300;
198,  0.016200,  0.052100,  0.003200;
199,  0.009300,  0.035700,  0.002600;
